categorie	tag	word	prononciation	meaning	example
country		我が国	わがくに	Notre pays, patrie	
right		戒める	いましめる	donner un avertissement, donner un conseil	
country		戦争	せんそ	Guerre	
country		戦場	せんじょう	Champ de bataille	
surprise		戸惑い	とまどい	être déconcerté, être désorienté, se troubler	
surprise		戸惑う	とまどう	Être deconcerté, perplexe	
house		戸棚	とだな	Armoire, garde robe	
food		戻す	もどす	restaurer, restituer, retourner     (to vomit, to throw up)	
getting		手に入る	てにはいる	to obtain, to come into possession of,  to get hold of, to get one's hands on	
	short	手元	てもと	À la maison, dans la main, sous la main	
body		手術	しゅじゅつ	Operation (chirurgicale)	
cloth		手袋,	てぶくろ	Gants	
	thanks	手遅れ	ておくれ	traitement tardif, trop tard	
interact	composed	打ち合わせする	うちあわせ	Se concerter, se mettre d'accord	
movement		打つ	うつ	Frapper  Cogner, heurter	
movement		打つかる	ぶつかる	entrer en collision avec,  frapper	
judgment		批評	ひひょう	Commentaire critique	
interact		承知	しょうち	acceptation,  acquiescement,  approbation,  consentement	
country		投票	とうひょう	scrutin, vote	
		折りたたみ	おりたたみ	pliant (table, chaise)	
break		折る	おる	Casser	
interact		抱く	だく	étreindre, embrasser, porter dans ses bras coucher avec	
		押す	おす	Appuyer pousser tamponner (Plein de sens)	
invitation		招待する	しょうたい	Inviter	
invitation		招致	しょうち	Invitation	
society		拝見 (する)	はいけん	Voir 謙譲語 (Pr superieur seulement)	
body		拭く	ふく	essuyer to wipe, to dry	
		拾う	ひろう	ramasser, trouver	
movement	composed	持ち上げる	もちあげる	Soulever	持つ: porter
sense	composed	振り返る	ふりかえる	Retourner Regarder en arrière	
		捨てる	すてる	gaspiller, jeter, laisser passer	
	ERROR	捨てる	すてる	Abandonner, jeter, gaspiller	
house		掃除する	そうじ	Balayer, nettoyer	
house		掃除機	そうじき	aspirateur	
body		掌	てのひら	la paume (de la main)	
		掘る	ほる	Creuser	
		探る	さぐる	Épier,  enquêter	
screen		掲示板	けいじばん	Panneau d’affichage	
paper		描く	えがく	dessiner, esquisser, peindre	
society		提携	ていけい	Accord commercial	
logic		換える	かえる	échanger, remplacer, substituer	代える, 替える
body		握る	にぎる	Attraper, saisir	
body	thanks	握手をする	あくしゅ	Serrer la main	
		揺れる	ゆれる	osciller, secouer	
		携わる	たずさわる	Faire partie de,  Participer	
body		摩る	さする	Frotter Carresser	
screen		撮る	とる	Prendre une photo	
body		擦る	こする	frotter, gratter	
language		擬人法	ぎしんほう	personification	
preparation		支度	したく	preparation, arrangements	
society		支社	ししゃ	branche, succursale d'une société.	
language		改まる	あらたまる	être modifié,  être renouvelé,  changer	
		放す	はなす	éloigner, libérer, séparer	その犬はボールを放そうとしなかった。 The dog wouldn't let go of the ball.
screen		放送する	ほうそう	Diffuser	
country		政局	せいきょく	situation politique	
country		政治家	せいじか	Homme politique, politicien	
location		故郷	こきょう	Pays natal	
break		故障	こしょう	Panne, dérèglement	故:coincidence, cause... 障: gêne, faire du mal
circulation		救急車	きゅうきゅうしゃ	Ambulance	
accomplish		敗北	はいぼく	Defaite	
location		教会	きょうかい	Église	
school		教室	きょうしつ	Salle de cours	
school		教師	きょうし	Prof des ecoles	
character		教養がある	きょうよう	Être cultivé	
lot	double	散々,	さんざん	durement, rudement, sévèrement	
		散らかす	ちらかす	éparpiller, disperser,  mettre en désordre	
		散る	ちる	flétrir, s'étendre,  se disperser, se répandre   to die a noble death	
		散歩	さんぽ	promenade	
movement		散歩する	さんぽ	Se promener	
money		散財	さんざい	extravagant spending,  splurging	
language		敬語	けいご	Langue honorifique	
language		数字	すうじ	chiffre Digit	
time		数日後	すうじつご	Qq jours après	
time		数時間	すうじかん	Pendant qq heures	
		整う	ととのう	être arrangé,  être en ordre, être préparé,  être rangé	
country		文化遺跡	ぶんかいせき	Vestiges de l'histoire, historique	
language		文句	もんく	formule (de langage), objection	
school		文学	ぶんがく	littérature	
country		文明	ぶんめい	Civilisation, culture	
language		文章	ぶんしょう	Phrase	
right		断り	ことわり	Notice warning	
		新作	しんさく	Nouveau travail, oeuvre	
circulation		新幹線	しんかんせん	Shinkansen	
		新聞社	しんぶんしゃ	bureau du journal, société d'édition de journaux	
people		新郎	しんろう	Futur marié	
food		新鮮な野菜	しんせんなやさい	Des légumes frais	
school		方程式	ほうていしき	Equation	
		施す	ほどこす	to do, to perform, to conduct to apply (processing, makeup, etc.),  to give (time, money, goods), to donate	彼は自分の王国に善政を施した。 He ruled his kingdom fairly.
location		旅館	りょかん	Hote, auberge jap	
country		旗	はた	drapeau	彼は旗を上下に動かした。 He moved the flags up and down.
weather		日光	にっこう	Lumière du jour Rayon de soleil	
		日刊紙	にっかんし	Journal, quotidien	
weather		日陰	ひかげ	Ombre	
location		旧市街	きゅうしがい	Vieille ville Centre historique	
suddenly	short	早速	さっそく	immédiatement, sans attendre,  tout de suite	
time		旬日	じゅんじつ	ten-day period	
society		昇進	しょうしん	Être promu	
weather		明かり	あかり	Clarté lumière	
time		昔	むかし	Autrefois, Antiquité	
time		昔年	せきねん	Ancien temps, vieux temps	
