categorie	tag	word	prononciation	meaning	example
	logic	許り	ばかり	Seulement Rien d'autre que  Pas plus que	
right		許可	きょか	approbation, permission	
language		訳する	やく	Traduire	
	ERROR	訳する	やく すdevantべき	Traduire	
		証拠	しょうこ	preuve (jur.)	この証拠は彼にとって不利だった。
right		証明 (する)	しょうめい	attestation,  justification,  preuve	
judgment		評論	ひょうろん	Critique (d'une oeuvre)	
language		詩的	し	Poétique	
judgment		詰らない	つまらない	Ennuyeux	
	expression	話変わるけど	はなしかわるけど	on a dérivé de sujet mais bon...	
language		話題	わだい	Sujet	
judgment		詳しい	くわしい	Détaillé, exact	
right		認定	にんてい	accréditation, autorisation,  reconnaissance	
invitation		誘う	さそう	inviter, tenter	
language		語尾	ごび	Word ending	
judgment	short	誠に	まことに	sincèrement, véritablement, vraiment	
	ERROR	誠に	まことに	Qui c'est qu'à pété le vase	
society	hierarchy	課長	かちょう	chef de groupe, chef de section	
sense		調子	ちょうし	rythme, son, timbre, tonalité état d'esprit, atmosphère,  état (de santé, de préservation) trend	
interact		論じる	ろんじる	Débattre, discuter	
school		論文	ろんぶん	étude, dissertation,  essai, thèse	
language		謙譲語	けんじょうご	Humble langage	
character	thanks	謙遜	けんそん	Humilité, modestie	
interact		講演	こうえん	Conférence, discours	
	thanks	謝る	あやまる	s'excuser	
	thanks	謝意	しゃい	gratitude, thanks	お謝意する
	thanks	謝罪 (する)	しゃざい	excuses	
	thanks	譲る	ゆずる	céder, se débarrasser	
food		豆	まめ	Haricots, pois	
food		豆腐	とうふ	Soja	
food		豊か	ゆたか	abondant, copieux,  nombreux, riche, somptueux	
food		豚肉	ぶたにく	Viande de porc	
society		財団	ざいだん	foundation	
money		財宝	ざいほう	treasure	
money		財産	ざいさん	bien, fortune, richesses	
money		貢ぐ	みつぐ	financer, soutenir	
money		貧しい	まずしい	pauvre	
money		貧乏	びんぼう	Pauvreté, misère	
accomplish		貪る	むさぼる	convoiter, convoiter insatiablement,  désirer profondément,  s'adonner à	お腹を空かせたその男は、食物をむさぼり食った。 L'homme affamé a dévoré la nourriture.
accomplish		貪欲	どんよく	avidité, cupidité, gloutonnerie, voracité	
		貫く	つらぬく	Passer à travers	
money		貯金(する)	ちょきん	économies, épargnes	彼女はお金をたくさん貯金している。
getting		貰う	もらう	Recevoir	
getting	composed	貸し出し	かしだし	Emprunt prêt	
getting	composed	貸し切り	かしきり	Réservé, réservation	
accomplish		費やす	ついやす	consacrer à, dépenser pour	
material		資料	しりょう	Donnée, matériau	
judgment		賑やか	にぎやか	Animé, vivant	
getting		賜る	たまわる	accorder, gratifier, offrir	
accomplish		賞金	しょうきん	Prize Aware Reward	
judgment		賢い	かしこい	Brillant, intelligent, sage	畏い 
people		赤ちゃん	あかちゃん	Bébé, nourrisson	
body		赤毛	あかげ	Roux	
	composed	走り書きする	はしりがき	Écrire à la hâte	
	composed	走り読みする	はしりよみ	Lire à la hâte	
movement		赴く	おもむく	Aller vers, se diriger, se rendre	
	short	超	ちょう	Super -  Sur -	
movement		越える	こえる	To cross over, pass through To exceed	
character		趣味	しゅみ	Loisirs, passe temps,  goûts,	
quantity		足りる	たりる	Être suffisant	
sense		足音	あしおと	bruit de pas	
movement		踊る	おどる	Danser	
		踏む	ふむ	empiéter sur,  fouler, piétiner	履む
movement		身動き	みうごき	Mouvement	
people		軍人	ぐんじん	militaire, soldat	
fall		転ぶ	ころぶ	Tomber	
society		転勤する	てんきん	Être transférer	
judgment		軽んじる	かろんじる	Faire peu de cas de  Look down on smthg	
		載る	のる	to be placed on, to be set on, to be piled on être imprimé (dans le journal), être mentionné, être noté	
society		辞職する	じしょく	Démissionner	
time		辰年	たつどし	year of the dragon	
location		農場	のうじょう	Ferme, plantation	
people		農民	のうみん	Paysans, fermiers	
location	short	辺り	あたり	Proximité, voisinnage, environ (くらい)	
lot	short	込む	こむ	Être bondé	
interact		迎える	むかえる	accueillir, aller à la rencontre de,  aller chercher	
time		近いうちに	ちかいうちに	Prochainement	
judgment		近代的な	きんだい	Moderne	aujourd'hui, de nos jours, temps modernes
movement		近寄る	ちかよる	s'approcher de quelque chose (qqun?)	
location		近畿地方	きんきちほう	Kinki region (incl. Osaka, Kyoto, Hyogo, Nara, Wakayama, Mie and Shiga prefectures)	
time		近頃	ちかごろ	ces derniers temps,  dernièrement	
getting		返す	かえす	Rendre Restore, put back	
		返す	かえす	Rendre	
feeling		迷い	まよい	hesitation, bewilderment,  doubt, indecision	
		迷子の子猫ちゃん	まいご	chanson sur les chatons abandonnés.	
people		迷子	まいご	enfant perdu.	
judgment		迷惑	めいわく	Emmerdement	
location		迷路	めいろ	labyrinthe.	
body		退院 (する)	たいいん	sortir de l'hopital	
getting		送る	おくる	Envoyer	
interact		送別会	そうべつかい	Fête d'adieu	
movement		逃げる	にげる	S'enfuir, fuir	
movement		途中	とちゅう	En chemin	
society		通う	かよう	Aller sur le lieu de taff, école...	
interact		通じる	つうじる	Se fr comprendre Mêner à	
location		通り	とおり	Rue, boulevard	
	logic	通り	どおり	Ainsi que suivant (De façon, de manière)	 通りに : de façon de manière à
		通る	とおる	passer à travers	
society		通勤	つうきん	temps de métro	
		通夜	つや	veillée funèbre	
