categorie	tag	word	prononciation	meaning	example
right		禁煙	きんえん	Defense de fumer	
location		福岡	ふくおか	Fukuoka (city)	
	expression	私のせい		Par ma faute	
	ERROR	私の両親は若くて元気です		Mes parents sont jeunes et donc vont bien	
	ERROR	私の両親は若くて元気です		Ma chambre est au fond du couloir	
me		私立	しりつ	privé (par opposition à public)	
me		私自身	わたしじしん	moi-même, soi-même (Long...)	
interact		私語	しご	whispering,  whisper,  secret talk,  murmur	
money		私財	しざい	private funds, own funds, private property	
me		私邸	してい	résidence privée	
school		科目	かもく	matière (à l'école),  programme d'études	
mental		秘密	ひみつ	Secret	
society		秘書	ひしょ	Secrétaire	
body		移す	うつす  (Transitifs)	Infecter	
location		空き地	あきち	Terrain vague	
weather		空	そら	Ciel	
paper		空欄	くうらん	Espace blanc	
location		空港	くうこう	Aeroport	
	composed	突き刺す	つきさす	cribler, perforer, transpercer	突き刺す十二月の風
		突く	つく	donner un coup (de poignard, d'épée),  heurter, percer	
sense		窺う	うかがう	to peep (through),  to peek, to examine (esp. covertly) to await (one's chance)       Passif  to guess, to infer, to gather, to surmise	
		立ち入り	たちいり	Une entrée  En entrant, allant	
lot	short	立派な	りっぱ	Distingué grand, magnificient	
animal		竜	りゅう	dragon (esp. a Chinese dragon)	
people		童	わらべ	enfant	
		童話	どうわ	contes pour enfants	
food		竹	たけ	Bambou	
	composed	笑い出す	わらいだす	Exploser de rire	
		笑顔	えがお	visage souriant	
	expression	第一	だいいち	D'abord,.... Formule orale	
	short	筈	はず	utilisé pour exprimer qu'une chose est presque sûre (cela devrait être ainsi)	
equal		等しい	ひとしい	égal, de valeur égale	
body		筋肉	きんにく	muscle, tendon	
		答えられる		Pouvoir répondre	
		箱	はこ	Boite	
money		節約	せつやく	Économiser épargne	
judgement		簡単	かんたん 簡:brièveté	Facilement, simplement	
		籠もる	こもる	S'enfermer, se cloitrer, se retirer	
food		粒	つぶ	grain	
mental		精神的	せいしんてき 精神:せいしん(esprit)	Mentalement	
		糸	いと	corde, fil	
time		紀元	きげん	ère après Jésus-Christ, après j. c.	
food		紅茶	こうちゃ	Thé noir	
food		紅葉	こうよう  もみじ	érable, couleurs d'automne feuillage jaunie	
		紐	ひも	Cordon ficelle Proxénète	
body		素手	すで	unarmed, bare hands	
body		素足	すあし	bare feet	
shape		細かい	こまかい	petit Fin, minutieux Mineur, trivial Sensitif	
invitation		紹介する	しょうかいする	Présenter (qqun)	
		終える	おえる	Finir	
school		組	くみ	équipe, classe, groupe, série	
		組み立てる	くみたてる	Assembler, construire Set up	
	expression	結局	けっきょく	Finalement After all eventuallt	
		結末	けつまつ	Fin, conclusion	
money		給料	きゅうりょう	paye, salaire	
	expression	絶対的な	ぜったい	De manière absolue, inconditionnelle	
cloth		絹	きぬ	soie	
	double	続々	ぞくぞく	l'un après l'autre, successivement	
location		緯度	いど	latitude	
		練る	ねる	Polir, masser Exercer entrainer	
accomplish		練習する	れんしゅう	S'entrainer, s'exercer	
right		罰する	ばっする 罰 punition	Punir	
interact		罵る	ののしる Fort	Injurier	
people		美人	びじん	Belle femme	
		美術展	びじゅつてん	Exposition (d'art)	
		美術館	びじゅつかん	Musée des beaux arts	
	expression	羨ましい	ですよ	Je l'envie tellement!	うらやましい
right		義務がある	ぎむ	Devoir Obligation morale	
time		翌日	よくじつ	Le lendemain, le jour suivant	
time		翌朝	よくあさ	Le matin suivant	
school		習う	ならう	étudier, apprendre	
character		習慣	がある	Avoir l'habitude Coutumes, manière, usage	しゅうかん
language		翻訳	ほんやく	une traduction	
		老いる	おいる	grandir (veillir)	
		老ける	ふける	to age, to grow old (esp. in appearance),  to show marks of age	
people		老人	ろうじん	Vieil homme	
		老犬	ろうけん	old dog	
mental		考え	考える	Pensée idée	
mental		耽る	ふける Fort	S'absorber dans Se laisser aller à la rêverie  Se perdre dans	
		聖書	せいしょ	La Bible, les saintes écritures	
		聴衆の中	ちょうしゅう: public, auditoir	Parmi le public	
sense		聴覚	ちょうかく	audition, ouïe (sens)	
body		肉体的	にくたいてき	Corporellement	
body		肌	はだ	Peau	
school		育てる	そだてる	éduquer, élever, s'occuper de	
body		背丈	せたけ	stature, taille (d'une personne)	彼は平均的な背丈だ。 He was a man of average height.
body		背中	せなか	Dos	
	expression	背伸び	せのび	standing on tiptoe and stretching one's back to make oneself taller,  stretching oneself	
cloth		背広	せびろ	Costume (homme)	
country		胡国	ここく	North China barbarian nations	
	ERROR	胡国	ここく	Le faucon vraiment habile cache ses griffes (qui a de la compétence) Le vrai mérite est modeste	
cloth		脱ぐ	ぬぐ	Se deshabiller	
body		脳	のう	Cerveau	
mental		脳裏	脳裡	One'mind	のうり
character		臆する	おくする	to be hesitant, to feel timid	彼女は臆することなく王の面前に出た。 She boldly went up to the king.
character		臆病 (な)	おくびょう	peureux, timidité	彼がああ臆病だとは思わなかった。 Je ne pensais pas qu'il était si timide.
	expression	自分が無事だ	無事:ぶじ:sans risque, sur	Elle va bien	
		自動	じどう	Automatique	
me		自己	じこ	soi, soi-même	
		自殺	じさつ	Suicide	
