categorie	tag	word	prononciation	meaning	example
sense		星が見えます	星:ほし	On voir les étoiles	
logic	short	是非	ぜひ 是非とも: par tous les moyens	Coute que coute	
sleep		昼寝する	ひるね	Faire la sieste	
time		時代	じだい	âge, ère, époque, période	
time		時刻	じこく	instant, moment	
time		時点	じてん	Point in time  Occasion	
time	composed	時間を掛ける	じかんをかける	Passer du temps  (À faire qqchose)	
lot	short	普段	ふだん	D'habitude, d'ordinaire, habituellement	
language		普通体	ふつうたい	Style direct	
location 		景色	けしき	Panorama	
time		暇	ひま	Temps libre	
house		暖房	だんぼう	chauffage	
house		暖炉	だんろ	Cheminée	
judgement		暗い	くらい	Sombre	
		暗証番号	あんしょうばんごう	personal identification number, PIN, password number	
time		暮らす	くらす	to live, to get along	
weather		暮れる	くれる	se coucher (pour le soleil),  se terminer	
paper	composed	書き置き	かきおき	Note, message	
judgement		書評	しょひょう	Critique litteraire (une)	
lot	short	最も	もっとも	extrêmement, le plus	
lot	short	最中	さいちゅう  さなか	au milieu de, en cours de, parmi	
few	short	最低	さいてい	"(vulg)""dégueulasse!"",  (vulg)""va te faire voir!"",  dégoûtant,  le dernier, le pire, le plus bas, moche"	
		月刊誌	げっかんし	Magazine mensuel	
	logic	有り得る	ありうる ありえる	Possible, likely	
cloth		服装	ふくそう	Tenue	
weather		朝霧	あさぎり	Brouillard matinal Brume matinale	
feeling	composed	期待外れ	きたいはずれ	disappointment, let-down	
location 		木立	こだち	Petit bosquet	
cloth		木綿	もめん	Coton	
few	short	未満	みまん	less than, insufficient	
accomplish		未解決	みかいけつ	Non résolu	
house		本棚	ほんだな (網棚 あみだな)	Étagère ( à livre)	
society		本社	ほんしゃ	siège d'une société.	
colour		朱色	しゅいろ	écarlate, vermillon	
location 		村	むら	Village	
cloth		杖	つえ	bâton, canne	
right		束縛 (する)	そくばく	Contraindre?	
location 		東	ひがし	Est	
		松の木	まつのき	Pin	
sleep		枕	まくら	oreiller	彼は枕に頭を横たえた。 He laid his head on the pillow.
		枝	えだ	Branche	
mental		架空	かくう	Aerien, fictionnel, imaginaire	
		染み	しみ	Tache	
body		柔軟	じゅうなん	élastique, flexible	
body		柔道	じゅうどう	Judo	
		柱	はしら	Pilier, poteau	
food		栄養	えいよう	nourriture, nutrition	
country		核兵器	かくへいき	Arme atomique	
character		根気	こんき	Patience Perseverance Energy	
mental	knowledge	案内する	あんない: renseignement	Se renseigner	
mental		案外	あんがい	inattendu	
		桜	さくら	Sakura	
		棄てる	すてる	gaspiller, jeter, laisser passer (Autre orthographe)	
		森	もり	Bois	
		植える	うえる	Planter, faire pousser	
		植物	しょくぶつ	Plante, végétal	
country		検査	けんさ	Examen inspection (genre douane)	
mental		概念	がいねん	concept,  idée générale,  notion	
		構う	かまう	Être concerné, s'intéresser	
	expression	構わない	かまわない	No problem Doesn't matter	
		様々	さまざま	divers, multiple	
		様子	ようす	state, state of affairs, situation, circumstances	
right		権利がある	けんり	Avoir le Droit, priviliège	
location 	short	横に	よこ	A côté de (à gauche ou à droite)	
character		機嫌	きげん	disposition, humeur humour, humor, temper, mood, spirits	
accomplish		欠ける	かける	manquer Être insuffidant, manquant, endommagé	
		欠如	けつじょ	Absence	
	double	次々	つぎつぎ	in succession, one by one	
	double	次から次へと	つぎからつぎへと	in succession,  one after another	
people		歌手	かしゅ	Chanteur	
country		歌舞妓	かぶき	Kabuki	
break		止まる	とまる	S'arrêter  (Pr une voiture entre autes)	
break		止む	やむ	être terminé, cesser, stopper	
time		正月	しょうがつ	Nouvel an	
character		正直	しょうじき	Honnête,  loyal, intègre	
accomplish		正解	せいかい	Repondre juste Réponse correcte	
country		武力	ぶりょく	Force, force armée Puissance militaire	
location 		歩道	ほどう	Trottoir	
shape		歪む	ゆがむ  いがむ ひずむ	se déformer, se tordre	
shape		歪曲	わいきょく	distortion, falsification, perversion	
body		歯を磨く	みがく	Se brosser les dents	
		歳	とし	Age	
country		歴史的な	れきし	Historique	
body		死体	したい	Cadavre	
		死後	しご	après la mort	
body		死者	ししゃ	Mort	
judgement		残念な	ざんねん	Triste déplorable regret	
society		残業	ざんぎょう	Heures supp	
	double	段々	だんだん	Petit à petit Par étapes	
interact		殺す	ころす	assassiner,  donner la mort, exterminer, faire mourir, massacrer, tuer	
		殺人	さつじん	assassinat, homicide, meurtre	
language		母語	ぼご	mother tongue, native language	
character		毒舌	どくぜつ	wicked tongue, abusive language langue de vipère	
		比べる	くらべる	comparer	
language		比喩	ひゆ	comparaison, métaphore	
feeling		気がする	きがする	to have a certain mood or feeling,  to have a hunch	
sense	composed	気がつく	きがつく	to notice,  to become aware,  to perceive, to realize	
feeling	composed	気が散る	きがちる	Se deconcentrer  Être distrait	
feeling	composed	気に掛かる	きにかかる	to weigh on one's mind, to be worried about (something)	
sense	composed	気を付ける	きをつける	Faire attention (careful)	
