categorie	tag	word	prononciation	meaning	example
	ERROR	写る	うつる	Les jours d'hiver se terminent tôt.	
weather		冷える	ひえる	refroidir, se rafraîchir (temps), se refroidir	
weather		冷める	さめる	refroidir, se refroidir se calmer (enthousiasme), baisser (intérêts, fièvre)	
weather		冷やす	ひやす	Refroidir	冷える
weather		冷やりと	ひやりと	cool, chill, cold	
house		冷房	れいぼう	air conditionné (froid uniquement)	
house		冷蔵庫	れいぞうこ	Frigo	
		凶行	きょうこう	crime, meurtre, violence	
	composed	出て来る	でてくる	to come out, to appear,  to turn up, to emerge	
	TODO	出入り口	でいりぐち	Entrée	
	ERROR	出口		Sortie, passerelle	
		出口	でぐち	Sortie, passerelle	
society		出張	しゅっちょう	Voyage d'affaire	
		出来事	できごと	Évènement, affaire	
location		出身	しゅっしん	one's hometown	
thing		刀刃	とうじん	sword blade	
	expression	分かっています	わかっています	Je sais Je suis au courant	
accomplish		切っ掛け	きっかけ	chance, occasion	
judgment	expression	切ない	せつない	Douloureux , pénible Pr oeuvre fin pas 100% heureuse ss être tragique   Mononoke, the host	
		切れる	きれる	Être coupé	
paper		切手	きって	Timbre	
paper		切符	きっぷ	Ticket, billet	
paper		刊行	かんこう	numéro (publication)	
circulation		列車	れっしゃ	Train	
time		初め頃	はじめころ	au début; premier temps	
		初恋	はつこい	Premiers amours	
sense		初耳	はつみみ	Qq chose entendu pr la première fois	
paper		判子	はんこ	cachet, sceau	
right		判決	はんけつ	Sentence	
		別なのを買いたい	べつ	Je veux en acheter un autre	
		別れる	わかれる	Se séparer Être partagé, divisé	
character		利己的な	りこ	Égoisme	
accomplish		利益	りえき	avantages, gains, intérêts (politiques, économiques)	利益になるような本を読みなさい。
movement		到着	とうちゃく	Une arrivée	
		制作	せいさく	production	 (映画制作）
		制度	せいど	un système, une organisation, une institution	 教育制度 結婚制度 (l'institution du marriage)
country		制御	せいぎょ	contrôle,  gouvernement, maitrise.	
school		制服	せいふく	un uniforme	
		制限	せいげん	une restriction, une limitation	 産業の制限 輸出の制限
location		刹	さつ	temple (Buddhist)	
cloth		刺す	さす	coudre, enfiler	
food		刺身	さしみ	Sashimi	
body		剃る	そる	Se raser	
time	short	前もって	まえもって	Par avance	
	short	前向き	まえむき	énergiquement,  constructivement,  positivement	
money		前払い	まえばらい	Paiment d'avance	
time		前日	ぜんじつ	Le jour précédent	
		剥く	むく	écorcer,  éplucher,  décortiquer,  peler	
		割る	わる	Briser, casser,  couper, cliver	
quantity		割合	わりあい	proportion, rapport, ratio comparativement, contrairement aux attentes,	
money		割引	わりびき	escompte, réduction, rabais	
		創作	そうさく	Une création	
interact		助ける	たすける	épargner (la vie),  aider,  encourager,  renforcer,  sauver,  soulager	
accomplish		助言	じょげん	conseil, suggestion	コーチが助言をしてくれた。 L'entraîneur m'a donné des conseils.
accomplish		励ます	はげます	donner (de la voix),  encourager	
accomplish		労働 (する)	ろうどう	labeur,  peine,  travail,  travail manuel	
character		動作	どうさ	Comportement, geste, manière	
language		動詞	どうし	Verbe	
accomplish		勝ち	かち	Gain triomphe victoire	
accomplish		勝利	しょうり	Victoire	
sense		匂いがする	におい	Sentir	
sense		匂い	におい	Parfum	
		包む	くるむ	to wrap up, to tuck in, to pack, to do up, to cover with	
		包む	つつむ	être emballé dans,  être enveloppé par,  emballer, empaqueter, envelopper, recouvrir, rentrer (chemise)	
body		化粧	けしょう	Maquillage	
location		北京	ぺきん	Pékin	
location		北極	ほっきょく	Pôle nord	
location		北極	ほっきょく	A Hokkaido chaque année, bcp de neige s'accumule.	
location		区	く	arrondissement, circonscription	
body		医学	いがく	médecine	
school		卒業式	そつぎょうしき	Cérémonie de remise des diplômes	
location		南極	なんきょく	Pôle sud, antarctique	
few	short	単に	たんに	seulement, simplement, uniquement	
character		単独	たんどく	individuel, seul, solitaire	不幸は決して単独では来ない。
	expression	単身	たんしん	alone, unaided, away from home	
location		博物館	はくぶつかん	Musée	
shape		印	しるし	Marque, symbole Indice, preuve	
judgment		印象的な	いんしょう	Impressionnant	印象:(Impression)
suddenly		即席	そくせき	sans préparation, instantané	彼は即席に立派な演説をした。
character		厚意	こうい	amabilité, faveur, gentillesse	
character		厳しい	きびしい	Sévère, strict, intense	
movement		去る	さる	Quitter, partir	
movement		参る	まいる	Aller venir (Humble)	
people		友人	ゆうじん	Ami	
getting	composed	取り上げる	とりあげる	Adopter, employer prendre Prendrede force	
getting	composed	取り返す	とりかえす	Récupérer, reprendre, regagner	
getting	composed	取得 (する)	しゅとく	acquisition, obtaining, gaining possession, purchase	
getting	composed	取材する	しゅざい	données, matériel (pour un article, film)	
school		受かる	うかる	être reçu à un examen	
getting	composed	受け取る	うけとる	Recevoir	
language		受身形	うけみけい	Forme passive	
school		受験者	じゅけんしゃ	examinee	
		口論する	こうろん	Se disputer	
		古典	こてん	"classique (ex: ""un classique""), classiques de la littérature, vieux livre"	
location		古里	ふるさと	home town, (Deuxieme kanjis different)	(故郷 [こきょう (kokyou)])
time		古風	こふう	ancien, antique, archaïque (Marche aussi pr les gens…)	
		叩く	たたく	battre, frapper, taper	
sense		叫び声	さけびこえ	Cri hurlement	叫ぶ(さけぶ) = crier
		召す	めす	acheter,  appeler,  attraper (un rhume),  boire, conduire,  porter (des vêtements),  prendre (un bain)	
judgment		可愛い	かわいい	Mignon	
