categorie	tag	word	prononciation	meaning	example
me		自身	じしん	personnellement, soi-même	
circulation		自転車に乗る	じどうしゃ	Rouler en velo	に pas を
movement		至る	いたる	arriver à, conduire à, mener à	
movement		航海	こうかい	Voyage, croisière	
	short	色んな	いろんな	Divers, varié	
colour		色彩	しきさい	Couleur teinte nuance	
		芯	しん	cœur,  mine (crayon),  noyau	
house		花瓶	かびん	vase (à fleurs)	
		芸術	げいじゅつ	L'art	
feeling	double	苛々 (する)	いらいら	Être nerveux, irrité Énervé	
interact		苛める	いじめる	battre, embêter, persécuter, tourmenter	
	logic	若しかすると	もしかすると	perhaps, maybe, by some chance もし	
	logic	若し	もし	Si, au cas où	
food		苦い	にがい	Amer	
right		苦情	くじょう	Plainte reclamation	
character		苦手	にがて	chose pour laquelle on n'est pas doué, personne que l'on ne supporte pas, avec qui on est mal à l'aise	
body		苦痛	くつう	douleur	
judgment		茂る	しげる	Être luxuriant Pousser avec luxuriance	
food		茶わん	ちゃわん	Tasse à thé Bol	
food		茶会	ちゃかい	tea party, get-together tea ceremony	お茶会
house		茶室	ちゃしつ	chashitsu  (dans la maison japonaise traditionnelle, pièce de petites dimensions pour la cérémonie du thé)	
		荷物	にもつ	Bagages	
judgment		華麗 (な)	かれい	Splendeur	
fall		落とす	おとす	Laisser tomber	
food		葉っぱ	はっぱ	feuille, feuilles marijuana, cannabis	
food		葉	は	Feuille	
paper		葉書	はがき	Carte postale	
people		著者	ちょしゃ	Écrivain, auteur	
weather		蒸し暑い	むしあつい	Humide et chaud (lourd)	
food		蓮	はす	sacred lotus (Nelumbo nucifera), Indian lotus,  lotus	
food		蓮華	れんげ	lotus flower	
judgment		薄い	うすい	dilué, léger, pâle	
		薄れる	うすれる	faner, s'estomper	
judgment		薄暗い	うすぐらい	mal éclairé, sombre	
location		薬屋	くすりや	Pharmacie	
born		蘇る	よみがえる	être réhabilité,  ressuciter,  revenir à la vie,  revivre	
animal		虫	むし	insecte	
body		虫歯	むしば	Carrie	
animal		蜂	はち	Abeille	
body		血だまり,	ちだまり	Flaque de sang	
movement		行き先	いきさき	Destination (d'un voyage)	
suddenly		行き成り	いきなり	Brusquement, sans prévenir Tout d'un coup, soudainement	
		行くべきだよ	いくべきだよ	Vous devez y aller!	
	expression	行けません	いけません	Impossible, ne doit pas fr	
situation		行事	ぎょうじ	Event	
		行列	ぎょうれつ	Queue, procession	
location		行方	ゆくえ	One's whereabouts Outcome	
location		街	まち	Ville (autre kanji)	
location		街路	がいろ	avenue, rue	
circulation		衝突	しょうとつ	collision, crash,  quarrel, clashing	
		表す	あらわす	Exprimer  (Deuxième orthographe)	
		表	ひょう	Index liste tableau	
cloth		袋	ふくろ	Sac	
cloth		被る	かぶる	Porter (Chapeau notamment)	
	short	裏	うら	arrière, côté opposé,	
interact		裏切る	うらぎる	Trahir	
cloth		裸	はだか	Nu	
judgment		褒める	ほめる	Faire des louages sur Faire l'éloge de  Parler en bien...	
		襲う	おそう	agresser, assaillir, attaquer	
country		西洋	せいよう	Occidentale	
country		西洋人	せいようじん	Occidantaux	
food		西瓜	すいか	Watermelon	水瓜
	expression	要するに	ようするに	en bref	
interact		見てもらう	みてもらう	Voir un docteur (Être vu par un docteur, voir un patient?)	
		見もの	みもの	Une vue, une attraction	
sense		見失う	みうしなう	Perdre de vue	
society		見学する	けんがく	Visite d'étude, inspection	
accomplish		見捨てる	みすてる	Abandonner, deserter	
movement		見物	けんぶつ	Excursion	
people		見物人	けんぶつにん	Curieux, spectateur, visiteur	
mental		見覚え	みおぼえ	reconnaître, se remémorer, se souvenir	
accomplish		見覚え	みおぼえ	Chance, espoir, attentes	
right		規則	きそく	règle, règlement, réglementation	
right		規定	きてい	prescription, règlement	
mental		視点	してん	Point de vue	
sense		視覚	しかく	sense of sight, vision	
sense		覗く	のぞく	Jeter un coup d'oeuil Regarder à la dérobée	
sleep		覚ます	さます	Réveiller Se réveiller	
decide		覚悟	かくご	décision, préparation, résignation, résolution	
people		親しい	したしい	familier, intime, proche (ami)	
		親孝行	おやこうこう	piété filiale	親孝行したいときには親はなし。 By the time you wish to be a good son, your parents are long gone.
mental		観	かん	Vu, perspective, apparence (Vu depuis le japon, les fr sont pas hyper polies)	
mental		観念	かんねん	Concept idée	
location		角	かど	Coin  (De la rue)	
mental		解く	とく	dénouer, résoudre (Et un milier d'autres sens)	
		解放	かいほう	libération	
		解散	かいさん	dissolution, séparation	
sense		触覚	しょっかく	le touché ( sens )	
		言い争う	いいあらそう	Se disputer	争う(あらそう) : se disputer
		言い切る	いいきる	Affirmer	
	thanks	言い訳する	いいわけ	S'excuser, se justifier, se défendre	
mental		計る	はかる	Mesurer Peser, étudier (une situation)	
accomplish		訓練	くんれん	entraînement, exercice	
mental		記憶	きおく	mémoire, remémoration, souvenir	
		記録する	きろく	Enregistrer	
movement		訪ねる	たずねる	aller voir, rendre visite à, visiter	
movement		訪問	ほおもん	Visite	
society		設立 (する)	せつりつ	établissement,  constitution (société),  création, fondation	
	thanks	許す	ゆるす	Pardonner	
	short	許りか	ばかりか	Pas seulement	
